episode,reward,R100,learning_rate
1,-353.3371091027769,-353.3371091027769,0.001
2,-135.214935399481,-244.27602225112895,0.001
3,-224.73370561252813,-237.76191670492867,0.001
4,-238.23879313574002,-237.8811358126315,0.001
5,-42.046129951432995,-198.71413464039182,0.001
6,-132.89215549649379,-187.74380478307546,0.001
7,-174.03505501702102,-185.7854119593534,0.001
8,-285.90381242243575,-198.3002120172387,0.001
9,-109.60506036294603,-188.44519516676172,0.001
10,-474.98120474458045,-217.0987961245436,0.001
11,-81.15474280822093,-204.74024582305972,0.001
12,-148.00242203559762,-200.0120938407712,0.001
13,-26.222944181235263,-186.64369771311462,0.001
14,-210.3547517874468,-188.33734443270978,0.001
15,6.115198931259528,-175.37384154177846,0.001
16,-72.79435078161364,-168.96262336926816,0.001
17,-274.7178417650574,-175.18351856902046,0.001
18,-251.97211823235173,-179.44955188365,0.001
19,-255.66409927879658,-183.4608438518156,0.001
20,-356.31443052699655,-192.10352318557466,0.001
21,-114.60264093821127,-188.41300498331924,0.001
22,-49.580289519654805,-182.10242700769814,0.001
23,-56.750428953957154,-176.65234013579635,0.001
24,-216.14547267963349,-178.2978873251229,0.001
25,-275.47455654862097,-182.18495409406282,0.001
26,-198.9081146183206,-182.82815257576505,0.001
27,-325.76727667929026,-188.12219420922895,0.001
28,-428.2159648708213,-196.69697173285724,0.001
29,-272.96552212761776,-199.32692174646968,0.001
30,-315.7143446911249,-203.20650251129152,0.001
31,-363.5700264389172,-208.37951941218267,0.001
32,-244.7269982449865,-209.5153781257078,0.001
33,-225.94136477810213,-210.01313529699246,0.001
34,-104.68969864726095,-206.91538716023567,0.001
35,-392.44849146019124,-212.21633299737724,0.001
36,-237.95090481952968,-212.93118221465926,0.001
37,-110.28376460220892,-210.15692768459303,0.001
38,-519.2312786158591,-218.29046323541584,0.001
39,-208.44321931607462,-218.03796980158657,0.001
40,-246.31632035247145,-218.74492856535866,0.001
41,-252.28775955602737,-219.56304639439938,0.001
42,-200.54897870940556,-219.11033049713765,0.001
43,-598.6056146520365,-227.93580222167014,0.001
44,-433.4327193897813,-232.6061867027636,0.001
45,-264.332490497104,-233.31121567597114,0.001
46,-351.46408999248854,-235.8797564219824,0.001
47,-234.1607384938414,-235.8431815724475,0.001
48,-237.47984348796905,-235.87727869568752,0.001
