episode,reward,R100,learning_rate
1,-135.3240569347024,-135.3240569347024,0.001
2,-327.1510641922204,-231.23756056346141,0.001
3,-93.74153255887363,-185.40555122859882,0.001
4,-85.95438536770732,-160.54275976337595,0.001
5,-163.082734882733,-161.05075478724734,0.001
6,-362.24917725532634,-194.58382519859387,0.001
7,-393.58525724238973,-223.0126012048504,0.001
8,-102.20455667751666,-207.91159563893368,0.001
9,-69.02608731513172,-192.4798724918446,0.001
10,-129.93020702255887,-186.224905944916,0.001
11,-107.6470438668123,-179.08146393781567,0.001
12,-82.4266845362715,-171.026898987687,0.001
13,-344.46554807397564,-184.36833353278612,0.001
14,-101.854025070455,-178.47445435690534,0.001
15,-117.17236702047606,-174.3876485344767,0.001
16,-90.21744634591678,-169.12701089769172,0.001
17,-230.41943888689426,-172.73244783823304,0.001
18,-304.9948740656841,-180.08036040642477,0.001
19,-90.84969892057264,-175.38400980190625,0.001
20,-97.14701047993802,-171.47215983580782,0.001
21,-115.1515426601329,-168.7902256845852,0.001
22,-104.1009205038963,-165.84980272182662,0.001
23,-121.38164703622756,-163.9164046485397,0.001
24,-142.8194656242767,-163.03736552252875,0.001
25,-124.0669210386807,-161.47854774317483,0.001
26,-187.13151338709073,-162.46520026794082,0.001
27,-120.79545239334855,-160.92187627258554,0.001
28,-123.33702140237762,-159.579560027221,0.001
29,-123.52012529161124,-158.33613124323443,0.001
30,-134.04556951656627,-157.52644585234552,0.001
31,-124.30622533769846,-156.45482583574397,0.001
32,-288.86404768840316,-160.59261401863958,0.001
33,-204.4021544100619,-161.92017584868267,0.001
34,-271.8366486071467,-165.15301328275515,0.001
35,20.849898222961087,-159.83864438259184,0.001
36,-132.64148810075503,-159.08316781920746,0.001
37,-137.17309333063662,-158.4910036438407,0.001
38,-145.5246230643711,-158.1497831022757,0.001
39,-165.16463816804588,-158.32965118088518,0.001
40,-134.5877053352131,-157.7361025347434,0.001
41,-107.48108802200214,-156.51037047345702,0.001
42,-116.8277060884229,-155.5655451309562,0.001
