episode,reward,R100,learning_rate
1,-133.2767501189789,-133.2767501189789,0.0005
2,-170.8066591765503,-152.04170464776462,0.0005
3,-359.07226106129207,-221.0518901189404,0.0005
4,-74.2641844196693,-184.35496369412263,0.0005
5,-154.77588792818733,-178.43914854093558,0.0005
6,-418.5889904718952,-218.46412219609553,0.0005
7,-81.64600760547569,-198.9186772545784,0.0005
8,-34.324293366392865,-178.3443792685552,0.0005
9,-159.2988479634705,-176.22820912354578,0.0005
10,-131.91972854362433,-171.79736106555364,0.0005
11,-331.50799117626684,-186.31650925743668,0.0005
12,-550.4141128704471,-216.65797622518753,0.0005
13,-131.006899515069,-210.06943186287072,0.0005
14,-226.3281822419159,-211.23077117565967,0.0005
15,-424.42446079047653,-225.44368381664745,0.0005
16,-224.6122128837356,-225.39171688334045,0.0005
17,-288.07776797425794,-229.07913165339443,0.0005
18,-397.32792056203385,-238.42628659276326,0.0005
19,-66.2501944976566,-229.36438700881033,0.0005
20,-474.20493091253945,-241.60641420399674,0.0005
21,-112.96133493408922,-235.4804580482869,0.0005
22,-21.096560947596757,-225.73573545280095,0.0005
23,-573.4860338638588,-240.8553136445861,0.0005
24,-198.44442328954221,-239.08819321312592,0.0005
25,-329.7200651228659,-242.71346808951552,0.0005
26,-214.80978819821587,-241.64024963215783,0.0005
27,-362.2185754070583,-246.10611354974677,0.0005
28,-234.13837890643214,-245.67869445534265,0.0005
29,-191.3512464907567,-243.80533418070175,0.0005
30,-196.96097415275523,-242.24385551310354,0.0005
31,-879.5456655735219,-262.80197841827834,0.0005
32,-458.57424878254176,-268.91986186716156,0.0005
33,-577.2756329316709,-278.26397614184367,0.0005
34,-334.1241550587018,-279.90692258057476,0.0005
35,-128.51614015754646,-275.5814716542025,0.0005
36,-386.2009986445897,-278.6542362928244,0.0005
37,-289.1141508957064,-278.9369366874969,0.0005
38,-461.7156155817523,-283.74690192155623,0.0005
39,-355.40269229686385,-285.58422987989746,0.0005
40,-451.7594932340034,-289.7386114637501,0.0005
41,-360.9562630482076,-291.47562735605396,0.0005
42,-165.67038262846486,-288.48026438634946,0.0005
43,-140.7022452143793,-285.0435662660711,0.0005
44,-83.88009732044614,-280.4716692445796,0.0005
45,-77.4092012529047,-275.9591699558757,0.0005
46,-178.7496320699807,-273.84591913226933,0.0005
47,27.824377860603718,-267.42740217497413,0.0005
48,-12.26741427968544,-262.1115690938223,0.0005
49,-195.8341467141109,-260.75896863709346,0.0005
50,-160.003110209416,-258.74385146853996,0.0005
51,-153.54635040627278,-256.6811553692798,0.0005
52,-282.06587325745136,-257.1693230209754,0.0005
53,-260.0935463960203,-257.2244970469196,0.0005
54,-241.78602998184826,-256.9385995086776,0.0005
55,-160.24926975638544,-255.18061169499953,0.0005
56,-279.5293614557695,-255.61541079787045,0.0005
57,-306.26238880569593,-256.50395427169195,0.0005
58,-409.0817214321245,-259.1346054296304,0.0005
59,-168.94787918659713,-257.60601684924,0.0005
60,-125.08050428286872,-255.3972583064672,0.0005
61,-115.56129033529194,-253.10486538890694,0.0005
62,-58.14362157949363,-249.9603291984325,0.0005
63,-247.94966774187668,-249.92841393721736,0.0005
64,-69.69943265133723,-247.11233610462548,0.0005
65,-423.8364716105745,-249.83116895856315,0.0005
66,-107.86426390248377,-247.68015524559223,0.0005
67,-312.1301147866047,-248.64209494023422,0.0005
68,-312.44661158766644,-249.58039665563763,0.0005
69,-201.82076113316626,-248.8882280248772,0.0005
70,-139.79208129043585,-247.32971164295657,0.0005
71,-280.0109736873079,-247.79001110836998,0.0005
72,-115.83362747486247,-245.9572835579046,0.0005
73,-316.1690913443664,-246.91908914402052,0.0005
74,-295.8876891491678,-247.5808269819279,0.0005
75,-70.6098417046451,-245.22121384489748,0.0005
76,-331.8565511091115,-246.3611524931108,0.0005
77,-242.55081823308456,-246.311667632591,0.0005
78,-60.791806389901595,-243.93320787306934,0.0005
79,-19.28386554588168,-241.0895453119657,0.0005
80,-45.303834606661354,-238.6422239281494,0.0005
81,-275.95614783991545,-239.10288965545516,0.0005
82,-375.479646666754,-240.76602083851978,0.0005
83,-148.86095288497475,-239.65873086317586,0.0005
84,-392.0938461931897,-241.4734346171046,0.0005
85,-147.04009487946468,-240.36245414960294,0.0005
86,-32.993038684587404,-237.95118187675394,0.0005
87,-114.42456748197787,-236.53133573428525,0.0005
88,-35.66796987153094,-234.24879748584488,0.0005
89,-15.655757098232556,-231.79269590845593,0.0005
90,-156.22217181452027,-230.95302341852334,0.0005
91,-175.93413834082907,-230.3484202858014,0.0005
92,-214.47636303604867,-230.17589792439108,0.0005
93,-15.16217224929703,-227.86392237949758,0.0005
94,-242.4184091485993,-228.01875734512632,0.0005
95,-51.30184940079414,-226.1585793667649,0.0005
96,-60.32040831715509,-224.43109841833152,0.0005
97,-214.70159626917552,-224.3307942724639,0.0005
98,27.201945216537,-221.76413366543326,0.0005
99,-288.3933205490425,-222.4371557551667,0.0005
100,-92.76665222934123,-221.14045071990844,0.0005
101,-44.06462146550497,-220.24832943337373,0.0005
102,-235.33465056148418,-220.89360934722302,0.0005
103,-96.94295628037293,-218.27231629941386,0.0005
104,-81.49885983255733,-218.34466305354275,0.0005
105,-11.653891517637732,-216.91344308943724,0.0005
106,-99.49621801385184,-213.7225153648568,0.0005
107,-119.78995129473616,-214.1039548017494,0.0005
108,-160.07965816617138,-215.3615084497472,0.0005
109,-139.18190681008875,-215.16033903821338,0.0005
110,-236.16679707179617,-216.2028097234951,0.0005
111,-85.85858666160917,-213.7463156783485,0.0005
112,44.62830582198944,-207.79589149142416,0.0005
113,-4.689390388025858,-206.53271640015373,0.0005
114,-89.10762030432008,-205.16051078077777,0.0005
115,-76.72304595823987,-201.6834966324554,0.0005
116,1.178872895896829,-199.42558577465908,0.0005
117,-62.9391318207827,-197.17419941312434,0.0005
118,9.04930024138802,-193.11042720509013,0.0005
119,-26.364613872227338,-192.71157139883582,0.0005
120,-66.31203358977369,-188.63264242560814,0.0005
121,-61.788778773552025,-188.1209168640028,0.0005
122,-16.36132242776362,-188.07356447880449,0.0005
123,-59.4992635033192,-182.93369677519905,0.0005
124,-189.5712224209444,-182.84496476651307,0.0005
125,-27.607123798720913,-179.82383535327165,0.0005
126,-57.087489658660594,-178.24661236787608,0.0005
127,-33.731948059398235,-174.9617460943995,0.0005
128,114.97326359422928,-171.47062966939288,0.0005
