episode,reward,R100,learning_rate
1,-72.78251046158513,-72.78251046158513,0.001
2,-202.54326765979346,-137.66288906068928,0.001
3,-178.4695781531528,-151.26511875817712,0.001
4,-82.7413670597201,-134.13418083356288,0.001
5,-128.8608730061593,-133.07951926808215,0.001
6,-103.00259744819662,-128.0666989647679,0.001
7,-84.99021507662746,-121.91291555217641,0.001
8,-332.8795931914101,-148.2837502570806,0.001
9,-62.85953994643433,-138.7921713336755,0.001
10,-394.7374220021487,-164.3866964005228,0.001
11,-103.4991119954262,-158.85146145460493,0.001
12,-52.23693844118333,-149.96691787015314,0.001
13,-83.6027360051157,-144.8619808036118,0.001
14,-227.96822860596058,-150.79814136092241,0.001
15,-705.0844609973864,-187.75056267002,0.001
16,-183.7232406794555,-187.49885504560973,0.001
17,-391.30361891692866,-199.48737056745202,0.001
18,-301.2600513553336,-205.141408389001,0.001
19,-208.57160737152566,-205.32194517755494,0.001
20,-36.5301903701651,-196.88235743718545,0.001
21,-508.7444810078034,-211.73293475007202,0.001
22,-196.60337979345258,-211.04522770658932,0.001
23,-159.83375696648267,-208.81864202223684,0.001
24,-339.6827690314755,-214.2713139809551,0.001
25,-250.94967894139282,-215.73844857937263,0.001
26,-292.3328810161943,-218.68438828848113,0.001
27,-454.99421687773776,-227.43660416215732,0.001
28,-353.73223614370295,-231.94716244721252,0.001
29,-401.11181672416535,-237.7804263877971,0.001
30,-336.0642166939099,-241.0565527313342,0.001
31,-170.00466584037315,-238.76455638001286,0.001
32,-325.87103562372204,-241.48663385637877,0.001
33,-542.8342091784939,-250.61837856310956,0.001
34,-365.15957921266227,-253.98723740574346,0.001
35,-306.5809789747179,-255.4899157362856,0.001
36,-406.48554272277823,-259.6842387081326,0.001
37,-609.7266477686753,-269.1448443584175,0.001
38,-290.3771187847033,-269.70358842226716,0.001
39,-445.4142996170919,-274.20899127341653,0.001
40,-586.796776757846,-282.02368591052726,0.001
41,-311.0571515424805,-282.7318192186237,0.001
42,-463.38767939476594,-287.03314922281754,0.001
43,-169.97050244510763,-284.3107620884522,0.001
44,-215.2795967244455,-282.74187196654293,0.001
