episode,reward,R100,learning_rate
1,-91.74286365816812,-91.74286365816812,0.001
2,-245.91787559054367,-168.8303696243559,0.001
3,-275.4918971974657,-204.38421214872582,0.001
4,-128.19046331872127,-185.33577494122468,0.001
5,-71.55467137260821,-162.57955422750138,0.001
6,-266.9111531422435,-179.96815404662507,0.001
7,-71.12301492176677,-164.41884845735962,0.001
8,-377.1299225744931,-191.0077327220013,0.001
9,-227.47986978614153,-195.06019239579464,0.001
10,-26.321834207603345,-178.18635657697553,0.001
11,-84.38254142173949,-169.6587370174086,0.001
12,-97.53518176101376,-163.64844074604238,0.001
13,-194.0312348563786,-165.98557875452977,0.001
14,-206.2774091088064,-168.8635666369781,0.001
15,-83.82314803005856,-163.1942053965168,0.001
16,-273.330355991856,-170.0777148087255,0.001
17,-235.18741198721796,-173.90769699569566,0.001
18,-398.4181148878781,-186.38049798970576,0.001
19,-207.87888529762233,-187.5119920585435,0.001
20,-229.76405883579537,-189.6245953974061,0.001
21,-230.82871747457787,-191.5866964487,0.001
22,-47.0601810048028,-185.0173093830683,0.001
23,-222.8158141148148,-186.66072263227466,0.001
24,-154.3054522533411,-185.31258636648576,0.001
25,-217.83560907140492,-186.61350727468252,0.001
26,-542.3276768316606,-200.29482148841245,0.001
27,-462.1827285940658,-209.99437360343666,0.001
28,-105.16947326512782,-206.25062716278276,0.001
29,-27.738271639878988,-200.09502869647574,0.001
30,-535.668961868389,-211.28082646887285,0.001
31,-118.15190446527642,-208.2766676945633,0.001
32,-324.30473902575466,-211.90254492366302,0.001
33,-206.24271404339763,-211.7310348969883,0.001
34,-206.7260759181156,-211.5838302211391,0.001
35,-216.9125247134516,-211.73607863520516,0.001
36,-131.52674978669603,-209.50804172274658,0.001
37,-185.40295725946316,-208.85655295346868,0.001
38,-93.6477426175111,-205.82474215515398,0.001
39,-211.03866013369827,-205.95843235973206,0.001
40,-496.59719386568025,-213.22440139738075,0.001
41,-172.54317916081885,-212.23217646478167,0.001
42,-78.61047283508134,-209.0507073307412,0.001
43,-129.84327898753057,-207.20867411345725,0.001
44,-558.2205025845458,-215.18621566961835,0.001
45,-462.23735027990773,-220.67624088318033,0.001
46,-326.3559608305584,-222.97362609942766,0.001
47,-218.9136849490119,-222.88724437282306,0.001
