episode,reward,R100
1,10.0,10.0
2,12.0,11.0
3,8.0,10.0
4,11.0,10.25
5,8.0,9.8
6,11.0,10.0
7,10.0,10.0
8,10.0,10.0
9,11.0,10.11111111111111
10,10.0,10.1
11,13.0,10.363636363636363
12,9.0,10.25
13,9.0,10.153846153846153
14,10.0,10.142857142857142
15,17.0,10.6
16,9.0,10.5
17,8.0,10.352941176470589
18,13.0,10.5
19,13.0,10.631578947368421
20,14.0,10.8
21,11.0,10.80952380952381
22,10.0,10.772727272727273
23,9.0,10.695652173913043
24,12.0,10.75
25,9.0,10.68
26,12.0,10.73076923076923
27,10.0,10.703703703703704
28,10.0,10.678571428571429
29,10.0,10.655172413793103
30,9.0,10.6
31,13.0,10.67741935483871
32,8.0,10.59375
33,12.0,10.636363636363637
34,14.0,10.735294117647058
35,10.0,10.714285714285714
36,12.0,10.75
37,11.0,10.756756756756756
38,10.0,10.736842105263158
39,10.0,10.717948717948717
40,14.0,10.8
41,9.0,10.75609756097561
42,12.0,10.785714285714286
43,10.0,10.767441860465116
44,16.0,10.886363636363637
45,11.0,10.88888888888889
46,12.0,10.91304347826087
47,11.0,10.914893617021276
48,11.0,10.916666666666666
49,10.0,10.89795918367347
50,8.0,10.84
51,12.0,10.862745098039216
52,9.0,10.826923076923077
53,11.0,10.830188679245284
54,10.0,10.814814814814815
55,17.0,10.927272727272728
56,8.0,10.875
57,9.0,10.842105263157896
58,8.0,10.793103448275861
59,9.0,10.76271186440678
60,15.0,10.833333333333334
61,9.0,10.80327868852459
62,9.0,10.774193548387096
63,11.0,10.777777777777779
64,9.0,10.75
65,10.0,10.738461538461538
66,12.0,10.757575757575758
67,10.0,10.746268656716419
68,11.0,10.75
69,8.0,10.710144927536232
70,10.0,10.7
71,8.0,10.661971830985916
72,9.0,10.63888888888889
73,12.0,10.657534246575343
74,15.0,10.716216216216216
75,10.0,10.706666666666667
76,11.0,10.710526315789474
77,9.0,10.688311688311689
78,9.0,10.666666666666666
79,8.0,10.632911392405063
80,8.0,10.6
81,15.0,10.654320987654321
82,13.0,10.682926829268293
83,13.0,10.710843373493976
84,8.0,10.678571428571429
85,12.0,10.694117647058823
86,10.0,10.686046511627907
87,15.0,10.735632183908047
88,8.0,10.704545454545455
89,11.0,10.707865168539326
90,9.0,10.688888888888888
91,9.0,10.67032967032967
92,11.0,10.673913043478262
93,10.0,10.666666666666666
94,10.0,10.659574468085106
95,11.0,10.663157894736843
96,10.0,10.65625
97,11.0,10.65979381443299
98,11.0,10.66326530612245
99,11.0,10.666666666666666
100,9.0,10.65
101,11.0,10.66
102,8.0,10.62
103,16.0,10.7
104,9.0,10.68
105,8.0,10.68
106,13.0,10.7
107,13.0,10.73
108,10.0,10.73
109,12.0,10.74
110,10.0,10.74
111,8.0,10.69
112,10.0,10.7
113,9.0,10.7
114,9.0,10.69
115,11.0,10.63
116,10.0,10.64
117,10.0,10.66
118,11.0,10.64
119,12.0,10.63
120,12.0,10.61
121,11.0,10.61
122,11.0,10.62
123,8.0,10.61
124,12.0,10.61
125,11.0,10.63
126,16.0,10.67
127,10.0,10.67
128,13.0,10.7
129,11.0,10.71
130,10.0,10.72
131,9.0,10.68
132,10.0,10.7
133,13.0,10.71
134,9.0,10.66
135,14.0,10.7
136,9.0,10.67
137,10.0,10.66
138,10.0,10.66
139,10.0,10.66
140,9.0,10.61
141,9.0,10.61
142,12.0,10.61
143,10.0,10.61
144,9.0,10.54
145,8.0,10.51
146,9.0,10.48
147,10.0,10.47
148,11.0,10.47
149,11.0,10.48
150,15.0,10.55
151,13.0,10.56
152,10.0,10.57
153,10.0,10.56
154,9.0,10.55
155,11.0,10.49
156,9.0,10.5
157,8.0,10.49
158,9.0,10.5
159,12.0,10.53
160,8.0,10.46
161,9.0,10.46
162,11.0,10.48
163,10.0,10.47
164,12.0,10.5
165,11.0,10.51
166,10.0,10.49
167,10.0,10.49
168,11.0,10.49
169,12.0,10.53
170,8.0,10.51
171,16.0,10.59
172,10.0,10.6
173,10.0,10.58
174,12.0,10.55
175,8.0,10.53
176,11.0,10.53
177,8.0,10.52
178,10.0,10.53
179,9.0,10.54
180,14.0,10.6
181,10.0,10.55
182,8.0,10.5
183,19.0,10.56
184,8.0,10.56
185,10.0,10.54
186,10.0,10.54
187,15.0,10.54
188,12.0,10.58
189,12.0,10.59
190,9.0,10.59
191,9.0,10.59
192,18.0,10.66
193,14.0,10.7
194,11.0,10.71
195,19.0,10.79
196,10.0,10.79
197,10.0,10.78
198,9.0,10.76
199,9.0,10.74
200,10.0,10.75
201,10.0,10.74
202,11.0,10.77
203,10.0,10.71
204,14.0,10.76
205,9.0,10.77
206,10.0,10.74
207,9.0,10.7
208,12.0,10.72
209,11.0,10.71
210,9.0,10.7
211,10.0,10.72
212,13.0,10.75
213,9.0,10.75
214,8.0,10.74
215,9.0,10.72
216,12.0,10.74
217,11.0,10.75
218,12.0,10.76
219,13.0,10.77
220,9.0,10.74
