episode,reward,R100
1,9.0,9.0
2,17.0,13.0
3,15.0,13.666666666666666
4,13.0,13.5
5,15.0,13.8
6,11.0,13.333333333333334
7,15.0,13.571428571428571
8,13.0,13.5
9,14.0,13.555555555555555
10,16.0,13.8
11,13.0,13.727272727272727
12,16.0,13.916666666666666
13,14.0,13.923076923076923
14,15.0,14.0
15,10.0,13.733333333333333
16,15.0,13.8125
17,13.0,13.764705882352942
18,13.0,13.722222222222221
19,15.0,13.789473684210526
20,16.0,13.9
21,17.0,14.047619047619047
22,12.0,13.954545454545455
23,13.0,13.91304347826087
24,11.0,13.791666666666666
25,18.0,13.96
26,16.0,14.038461538461538
27,15.0,14.074074074074074
28,18.0,14.214285714285714
29,14.0,14.206896551724139
30,14.0,14.2
31,13.0,14.161290322580646
32,13.0,14.125
33,12.0,14.06060606060606
34,15.0,14.088235294117647
35,16.0,14.142857142857142
36,15.0,14.166666666666666
37,19.0,14.297297297297296
38,12.0,14.236842105263158
39,16.0,14.282051282051283
40,13.0,14.25
41,16.0,14.292682926829269
42,14.0,14.285714285714286
43,13.0,14.255813953488373
44,14.0,14.25
45,15.0,14.266666666666667
46,14.0,14.26086956521739
47,13.0,14.23404255319149
48,15.0,14.25
49,14.0,14.244897959183673
50,18.0,14.32
51,13.0,14.294117647058824
52,16.0,14.326923076923077
53,12.0,14.283018867924529
54,11.0,14.222222222222221
55,19.0,14.309090909090909
56,13.0,14.285714285714286
57,18.0,14.350877192982455
58,13.0,14.327586206896552
59,17.0,14.372881355932204
60,18.0,14.433333333333334
61,14.0,14.426229508196721
62,16.0,14.451612903225806
63,20.0,14.53968253968254
64,14.0,14.53125
65,16.0,14.553846153846154
66,13.0,14.530303030303031
67,16.0,14.552238805970148
68,21.0,14.647058823529411
69,14.0,14.63768115942029
70,14.0,14.628571428571428
71,11.0,14.577464788732394
72,12.0,14.541666666666666
73,13.0,14.520547945205479
74,14.0,14.513513513513514
75,14.0,14.506666666666666
76,16.0,14.526315789473685
77,12.0,14.493506493506494
78,16.0,14.512820512820513
79,13.0,14.49367088607595
80,16.0,14.5125
81,12.0,14.481481481481481
82,14.0,14.475609756097562
83,12.0,14.44578313253012
84,16.0,14.464285714285714
85,12.0,14.435294117647059
86,12.0,14.406976744186046
87,17.0,14.436781609195402
88,19.0,14.488636363636363
89,13.0,14.47191011235955
90,15.0,14.477777777777778
91,12.0,14.45054945054945
92,16.0,14.467391304347826
93,10.0,14.419354838709678
94,14.0,14.414893617021276
95,15.0,14.421052631578947
96,16.0,14.4375
97,12.0,14.412371134020619
98,15.0,14.418367346938776
99,10.0,14.373737373737374
100,16.0,14.39
101,15.0,14.45
102,11.0,14.39
103,16.0,14.4
104,10.0,14.37
105,14.0,14.36
106,12.0,14.37
107,15.0,14.37
108,14.0,14.38
109,18.0,14.42
110,17.0,14.43
111,16.0,14.46
112,12.0,14.42
113,14.0,14.42
114,16.0,14.43
115,13.0,14.46
116,13.0,14.44
117,14.0,14.45
118,18.0,14.5
119,10.0,14.45
120,16.0,14.45
121,15.0,14.43
122,13.0,14.44
123,12.0,14.43
124,16.0,14.48
125,12.0,14.42
126,14.0,14.4
127,14.0,14.39
128,11.0,14.32
129,14.0,14.32
130,16.0,14.34
131,11.0,14.32
132,16.0,14.35
133,16.0,14.39
134,15.0,14.39
135,14.0,14.37
136,13.0,14.35
137,12.0,14.28
138,13.0,14.29
139,14.0,14.27
140,13.0,14.27
141,15.0,14.26
142,12.0,14.24
143,14.0,14.25
144,13.0,14.24
145,15.0,14.24
146,18.0,14.28
147,14.0,14.29
148,16.0,14.3
149,12.0,14.28
150,14.0,14.24
151,17.0,14.28
152,17.0,14.29
153,16.0,14.33
154,11.0,14.33
155,16.0,14.3
156,17.0,14.34
157,15.0,14.31
158,15.0,14.33
159,15.0,14.31
160,12.0,14.25
161,16.0,14.27
162,14.0,14.25
163,17.0,14.22
164,13.0,14.21
165,14.0,14.19
166,15.0,14.21
167,16.0,14.21
168,11.0,14.11
169,17.0,14.14
170,18.0,14.18
171,14.0,14.21
172,12.0,14.21
173,20.0,14.28
174,15.0,14.29
175,15.0,14.3
176,15.0,14.29
177,13.0,14.3
178,12.0,14.26
179,12.0,14.25
180,12.0,14.21
181,14.0,14.23
182,17.0,14.26
183,15.0,14.29
184,14.0,14.27
185,17.0,14.32
186,10.0,14.3
187,17.0,14.3
188,13.0,14.24
189,11.0,14.22
190,12.0,14.19
191,11.0,14.18
192,15.0,14.17
193,16.0,14.23
194,13.0,14.22
195,14.0,14.21
196,13.0,14.18
197,15.0,14.21
198,15.0,14.21
199,15.0,14.26
200,12.0,14.22
201,11.0,14.18
202,10.0,14.17
203,17.0,14.18
204,11.0,14.19
205,14.0,14.19
206,14.0,14.21
207,17.0,14.23
208,16.0,14.25
209,12.0,14.19
210,15.0,14.17
211,13.0,14.14
212,14.0,14.16
213,16.0,14.18
214,17.0,14.19
215,12.0,14.18
216,14.0,14.19
217,12.0,14.17
218,11.0,14.1
219,13.0,14.13
220,17.0,14.14
221,13.0,14.12
222,12.0,14.11
223,16.0,14.15
224,13.0,14.12
225,15.0,14.15
226,18.0,14.19
227,13.0,14.18
228,13.0,14.2
229,16.0,14.22
230,14.0,14.2
231,17.0,14.26
232,11.0,14.21
233,14.0,14.19
234,10.0,14.14
235,15.0,14.15
236,14.0,14.16
237,13.0,14.17
238,12.0,14.16
239,14.0,14.16
240,16.0,14.19
241,14.0,14.18
242,16.0,14.22
243,11.0,14.19
244,12.0,14.18
245,16.0,14.19
246,14.0,14.15
247,14.0,14.15
248,13.0,14.12
249,14.0,14.14
250,12.0,14.12
251,12.0,14.07
252,16.0,14.06
253,12.0,14.02
254,12.0,14.03
255,12.0,13.99
256,16.0,13.98
257,17.0,14.0
258,14.0,13.99
259,16.0,14.0
260,12.0,14.0
261,12.0,13.96
262,13.0,13.95
263,15.0,13.93
264,14.0,13.94
265,20.0,14.0
266,14.0,13.99
267,13.0,13.96
268,16.0,14.01
269,21.0,14.05
270,15.0,14.02
271,17.0,14.05
272,12.0,14.05
273,13.0,13.98
274,16.0,13.99
275,16.0,14.0
276,12.0,13.97
277,17.0,14.01
278,18.0,14.07
279,14.0,14.09
280,12.0,14.09
281,11.0,14.06
282,12.0,14.01
283,13.0,13.99
284,15.0,14.0
285,11.0,13.94
286,13.0,13.97
287,14.0,13.94
288,15.0,13.96
289,14.0,13.99
290,19.0,14.06
291,14.0,14.09
292,15.0,14.09
293,13.0,14.06
294,15.0,14.08
295,12.0,14.06
296,15.0,14.08
297,11.0,14.04
298,11.0,14.0
299,13.0,13.98
300,15.0,14.01
301,16.0,14.06
302,13.0,14.09
303,12.0,14.04
304,17.0,14.1
305,13.0,14.09
306,12.0,14.07
307,15.0,14.05
308,13.0,14.02
309,11.0,14.01
310,13.0,13.99
311,15.0,14.01
312,16.0,14.03
313,10.0,13.97
314,9.0,13.89
315,15.0,13.92
316,15.0,13.93
317,14.0,13.95
318,14.0,13.98
319,16.0,14.01
320,13.0,13.97
321,16.0,14.0
322,11.0,13.99
323,13.0,13.96
324,14.0,13.97
325,14.0,13.96
326,12.0,13.9
327,18.0,13.95
328,14.0,13.96
329,13.0,13.93
330,16.0,13.95
331,16.0,13.94
332,12.0,13.95
333,17.0,13.98
334,15.0,14.03
335,15.0,14.03
336,15.0,14.04
337,12.0,14.03
338,14.0,14.05
339,13.0,14.04
340,10.0,13.98
341,15.0,13.99
342,14.0,13.97
343,15.0,14.01
344,15.0,14.04
345,12.0,14.0
346,12.0,13.98
347,17.0,14.01
348,16.0,14.04
349,17.0,14.07
350,14.0,14.09
351,16.0,14.13
352,16.0,14.13
353,14.0,14.15
354,12.0,14.15
355,15.0,14.18
356,12.0,14.14
357,15.0,14.12
358,14.0,14.12
359,11.0,14.07
360,16.0,14.11
361,8.0,14.07
362,10.0,14.04
363,10.0,13.99
364,12.0,13.97
365,10.0,13.87
366,10.0,13.83
367,9.0,13.79
368,11.0,13.74
369,9.0,13.62
370,9.0,13.56
371,9.0,13.48
372,9.0,13.45
373,10.0,13.42
374,10.0,13.36
375,10.0,13.3
376,9.0,13.27
377,10.0,13.2
378,10.0,13.12
379,10.0,13.08
380,10.0,13.06
381,10.0,13.05
382,11.0,13.04
383,9.0,13.0
384,10.0,12.95
385,11.0,12.95
386,10.0,12.92
387,8.0,12.86
388,11.0,12.82
389,10.0,12.78
390,11.0,12.7
391,10.0,12.66
392,8.0,12.59
393,10.0,12.56
394,10.0,12.51
395,11.0,12.5
396,8.0,12.43
397,11.0,12.43
398,10.0,12.42
399,8.0,12.37
400,8.0,12.3
401,10.0,12.24
402,11.0,12.22
403,9.0,12.19
404,8.0,12.1
405,10.0,12.07
406,10.0,12.05
407,13.0,12.03
408,11.0,12.01
409,9.0,11.99
410,12.0,11.98
411,10.0,11.93
412,13.0,11.9
413,13.0,11.93
414,15.0,11.99
415,12.0,11.96
416,10.0,11.91
417,12.0,11.89
418,18.0,11.93
419,12.0,11.89
420,16.0,11.92
421,14.0,11.9
422,15.0,11.94
423,15.0,11.96
424,12.0,11.94
425,20.0,12.0
426,23.0,12.11
427,18.0,12.11
428,11.0,12.08
429,13.0,12.08
430,16.0,12.08
431,21.0,12.13
432,14.0,12.15
433,18.0,12.16
434,15.0,12.16
435,23.0,12.24
436,29.0,12.38
