episode,reward,R100
1,13.0,13.0
2,16.0,14.5
3,13.0,14.0
4,16.0,14.5
5,14.0,14.4
6,12.0,14.0
7,22.0,15.142857142857142
8,17.0,15.375
9,14.0,15.222222222222221
10,19.0,15.6
11,11.0,15.181818181818182
12,16.0,15.25
13,14.0,15.153846153846153
14,13.0,15.0
15,19.0,15.266666666666667
16,16.0,15.3125
17,12.0,15.117647058823529
18,12.0,14.944444444444445
19,15.0,14.947368421052632
20,19.0,15.15
21,14.0,15.095238095238095
22,19.0,15.272727272727273
23,12.0,15.130434782608695
24,14.0,15.083333333333334
25,12.0,14.96
26,16.0,15.0
27,14.0,14.962962962962964
28,15.0,14.964285714285714
29,17.0,15.03448275862069
30,12.0,14.933333333333334
31,11.0,14.806451612903226
32,20.0,14.96875
33,18.0,15.06060606060606
34,15.0,15.058823529411764
35,17.0,15.114285714285714
36,14.0,15.083333333333334
37,15.0,15.08108108108108
38,13.0,15.026315789473685
39,15.0,15.025641025641026
40,14.0,15.0
41,19.0,15.097560975609756
42,23.0,15.285714285714286
43,12.0,15.209302325581396
44,12.0,15.136363636363637
45,15.0,15.133333333333333
46,17.0,15.173913043478262
47,24.0,15.361702127659575
48,16.0,15.375
49,14.0,15.346938775510203
50,14.0,15.32
51,15.0,15.313725490196079
52,13.0,15.26923076923077
53,19.0,15.339622641509434
54,14.0,15.314814814814815
55,15.0,15.309090909090909
56,17.0,15.339285714285714
57,17.0,15.368421052631579
58,15.0,15.362068965517242
59,17.0,15.389830508474576
60,15.0,15.383333333333333
61,14.0,15.360655737704919
62,14.0,15.338709677419354
63,19.0,15.396825396825397
64,18.0,15.4375
65,15.0,15.430769230769231
66,16.0,15.43939393939394
67,13.0,15.402985074626866
68,14.0,15.382352941176471
69,13.0,15.347826086956522
70,12.0,15.3
71,15.0,15.295774647887324
72,12.0,15.25
73,16.0,15.26027397260274
74,14.0,15.243243243243244
75,13.0,15.213333333333333
76,12.0,15.171052631578947
77,13.0,15.142857142857142
78,12.0,15.102564102564102
79,16.0,15.113924050632912
80,13.0,15.0875
81,13.0,15.061728395061728
82,13.0,15.036585365853659
83,20.0,15.096385542168674
84,12.0,15.05952380952381
85,18.0,15.094117647058823
86,14.0,15.081395348837209
87,11.0,15.03448275862069
88,11.0,14.988636363636363
89,14.0,14.97752808988764
90,16.0,14.988888888888889
91,18.0,15.021978021978022
92,15.0,15.021739130434783
93,15.0,15.021505376344086
94,12.0,14.98936170212766
95,14.0,14.978947368421053
96,13.0,14.958333333333334
97,14.0,14.948453608247423
98,17.0,14.96938775510204
99,13.0,14.94949494949495
100,16.0,14.96
101,15.0,14.98
102,20.0,15.02
103,12.0,15.01
104,17.0,15.02
105,18.0,15.06
106,13.0,15.07
107,15.0,15.0
108,14.0,14.97
109,15.0,14.98
110,16.0,14.95
111,16.0,15.0
112,14.0,14.98
113,17.0,15.01
114,15.0,15.03
115,13.0,14.97
116,12.0,14.93
117,10.0,14.91
118,13.0,14.92
119,13.0,14.9
120,13.0,14.84
121,12.0,14.82
122,17.0,14.8
123,13.0,14.81
124,15.0,14.82
125,11.0,14.81
126,17.0,14.82
127,12.0,14.8
128,14.0,14.79
129,12.0,14.74
130,15.0,14.77
131,14.0,14.8
132,13.0,14.73
133,13.0,14.68
134,13.0,14.66
135,11.0,14.6
136,11.0,14.57
137,16.0,14.58
138,16.0,14.61
139,18.0,14.64
140,11.0,14.61
141,15.0,14.57
142,13.0,14.47
143,15.0,14.5
144,12.0,14.5
145,12.0,14.47
146,16.0,14.46
147,15.0,14.37
148,15.0,14.36
149,18.0,14.4
150,14.0,14.4
151,12.0,14.37
152,12.0,14.36
153,18.0,14.35
154,13.0,14.34
155,13.0,14.32
156,12.0,14.27
157,15.0,14.25
158,13.0,14.23
159,15.0,14.21
160,9.0,14.15
161,17.0,14.18
162,11.0,14.15
163,13.0,14.09
164,13.0,14.04
165,12.0,14.01
166,13.0,13.98
167,19.0,14.04
168,14.0,14.04
169,14.0,14.05
170,15.0,14.08
171,15.0,14.08
172,12.0,14.08
173,16.0,14.08
174,12.0,14.06
175,16.0,14.09
176,12.0,14.09
177,13.0,14.09
178,15.0,14.12
179,10.0,14.06
180,13.0,14.06
181,17.0,14.1
182,15.0,14.12
183,14.0,14.06
184,14.0,14.08
185,16.0,14.06
186,12.0,14.04
187,16.0,14.09
188,11.0,14.09
189,18.0,14.13
190,14.0,14.11
191,18.0,14.11
192,14.0,14.1
193,15.0,14.1
194,11.0,14.09
195,18.0,14.13
196,17.0,14.17
197,16.0,14.19
198,14.0,14.16
199,14.0,14.17
200,16.0,14.17
201,17.0,14.19
202,13.0,14.12
203,20.0,14.2
204,15.0,14.18
205,12.0,14.12
206,13.0,14.12
207,13.0,14.1
208,14.0,14.1
209,9.0,14.04
210,22.0,14.1
211,10.0,14.04
212,14.0,14.04
213,14.0,14.01
214,11.0,13.97
215,16.0,14.0
216,15.0,14.03
217,14.0,14.07
218,18.0,14.12
219,12.0,14.11
220,12.0,14.1
221,14.0,14.12
222,16.0,14.11
223,13.0,14.11
224,14.0,14.1
225,15.0,14.14
226,16.0,14.13
227,13.0,14.14
228,14.0,14.14
229,15.0,14.17
230,12.0,14.14
231,11.0,14.11
232,14.0,14.12
233,13.0,14.12
234,16.0,14.15
235,16.0,14.2
236,11.0,14.2
237,16.0,14.2
238,13.0,14.17
239,16.0,14.15
240,11.0,14.15
241,15.0,14.15
242,12.0,14.14
243,17.0,14.16
244,13.0,14.17
245,16.0,14.21
246,16.0,14.21
247,12.0,14.18
248,18.0,14.21
249,11.0,14.14
250,14.0,14.14
251,15.0,14.17
252,14.0,14.19
253,14.0,14.15
254,15.0,14.17
255,13.0,14.17
256,16.0,14.21
257,15.0,14.21
258,14.0,14.22
259,20.0,14.27
260,16.0,14.34
261,13.0,14.3
262,13.0,14.32
263,14.0,14.33
264,17.0,14.37
265,13.0,14.38
266,12.0,14.37
267,15.0,14.33
268,15.0,14.34
269,15.0,14.35
270,18.0,14.38
271,14.0,14.37
272,14.0,14.39
273,17.0,14.4
274,12.0,14.4
275,16.0,14.4
276,14.0,14.42
