episode,reward,R100
1,17.0,17.0
2,14.0,15.5
3,15.0,15.333333333333334
4,12.0,14.5
5,17.0,15.0
6,21.0,16.0
7,14.0,15.714285714285714
8,11.0,15.125
9,16.0,15.222222222222221
10,13.0,15.0
11,13.0,14.818181818181818
12,14.0,14.75
13,15.0,14.76923076923077
14,17.0,14.928571428571429
15,16.0,15.0
16,12.0,14.8125
17,18.0,15.0
18,18.0,15.166666666666666
19,11.0,14.947368421052632
20,18.0,15.1
21,16.0,15.142857142857142
22,10.0,14.909090909090908
23,17.0,15.0
24,12.0,14.875
25,14.0,14.84
26,11.0,14.692307692307692
27,14.0,14.666666666666666
28,16.0,14.714285714285714
29,18.0,14.827586206896552
30,14.0,14.8
31,19.0,14.935483870967742
32,16.0,14.96875
33,15.0,14.969696969696969
34,15.0,14.970588235294118
35,14.0,14.942857142857143
36,14.0,14.916666666666666
37,14.0,14.891891891891891
38,14.0,14.868421052631579
39,12.0,14.794871794871796
40,16.0,14.825
41,15.0,14.829268292682928
42,13.0,14.785714285714286
43,17.0,14.837209302325581
44,14.0,14.818181818181818
45,16.0,14.844444444444445
46,15.0,14.847826086956522
47,17.0,14.893617021276595
48,15.0,14.895833333333334
49,12.0,14.83673469387755
50,13.0,14.8
51,17.0,14.843137254901961
52,15.0,14.846153846153847
53,18.0,14.90566037735849
54,11.0,14.833333333333334
55,14.0,14.818181818181818
56,11.0,14.75
57,11.0,14.68421052631579
58,16.0,14.706896551724139
59,12.0,14.661016949152541
60,14.0,14.65
61,14.0,14.639344262295081
62,11.0,14.580645161290322
63,16.0,14.603174603174603
64,14.0,14.59375
65,13.0,14.569230769230769
66,13.0,14.545454545454545
67,16.0,14.567164179104477
68,14.0,14.558823529411764
69,18.0,14.608695652173912
70,16.0,14.628571428571428
71,15.0,14.633802816901408
72,12.0,14.597222222222221
73,16.0,14.616438356164384
74,15.0,14.621621621621621
75,14.0,14.613333333333333
76,13.0,14.592105263157896
77,26.0,14.74025974025974
78,15.0,14.743589743589743
79,17.0,14.772151898734178
80,12.0,14.7375
81,16.0,14.753086419753087
82,15.0,14.75609756097561
83,17.0,14.783132530120483
84,12.0,14.75
85,13.0,14.729411764705882
86,16.0,14.744186046511627
87,15.0,14.74712643678161
88,11.0,14.704545454545455
89,13.0,14.685393258426966
90,14.0,14.677777777777777
91,13.0,14.659340659340659
92,14.0,14.652173913043478
93,15.0,14.655913978494624
94,16.0,14.670212765957446
95,12.0,14.642105263157895
96,18.0,14.677083333333334
