episode,reward,R100
1,10.0,10.0
2,14.0,12.0
3,10.0,11.333333333333334
4,11.0,11.25
5,11.0,11.2
6,10.0,11.0
7,11.0,11.0
8,12.0,11.125
9,9.0,10.88888888888889
10,13.0,11.1
11,10.0,11.0
12,10.0,10.916666666666666
13,9.0,10.76923076923077
14,9.0,10.642857142857142
15,17.0,11.066666666666666
16,9.0,10.9375
17,10.0,10.882352941176471
18,10.0,10.833333333333334
19,13.0,10.947368421052632
20,9.0,10.85
21,11.0,10.857142857142858
22,9.0,10.772727272727273
23,10.0,10.73913043478261
24,11.0,10.75
25,8.0,10.64
26,12.0,10.692307692307692
27,9.0,10.62962962962963
28,14.0,10.75
29,10.0,10.724137931034482
30,9.0,10.666666666666666
31,9.0,10.612903225806452
32,9.0,10.5625
33,8.0,10.484848484848484
34,13.0,10.558823529411764
35,14.0,10.657142857142857
36,11.0,10.666666666666666
37,15.0,10.783783783783784
38,10.0,10.763157894736842
39,10.0,10.743589743589743
40,10.0,10.725
41,9.0,10.682926829268293
42,10.0,10.666666666666666
43,9.0,10.627906976744185
44,13.0,10.681818181818182
45,15.0,10.777777777777779
46,11.0,10.782608695652174
47,12.0,10.808510638297872
48,10.0,10.791666666666666
49,9.0,10.755102040816327
50,11.0,10.76
51,9.0,10.72549019607843
52,10.0,10.711538461538462
53,10.0,10.69811320754717
54,11.0,10.703703703703704
55,9.0,10.672727272727272
56,13.0,10.714285714285714
57,15.0,10.789473684210526
58,9.0,10.758620689655173
59,12.0,10.779661016949152
60,10.0,10.766666666666667
61,9.0,10.737704918032787
62,10.0,10.725806451612904
63,12.0,10.746031746031745
64,10.0,10.734375
65,10.0,10.723076923076922
66,10.0,10.712121212121213
67,10.0,10.701492537313433
68,10.0,10.691176470588236
69,9.0,10.666666666666666
70,12.0,10.685714285714285
71,11.0,10.690140845070422
72,9.0,10.666666666666666
73,13.0,10.698630136986301
74,15.0,10.756756756756756
75,11.0,10.76
76,10.0,10.75
77,12.0,10.766233766233766
78,10.0,10.756410256410257
79,12.0,10.772151898734178
80,9.0,10.75
81,9.0,10.728395061728396
82,19.0,10.829268292682928
83,9.0,10.80722891566265
84,15.0,10.857142857142858
85,9.0,10.83529411764706
86,13.0,10.86046511627907
87,9.0,10.839080459770114
88,11.0,10.840909090909092
89,10.0,10.831460674157304
90,14.0,10.866666666666667
91,18.0,10.945054945054945
92,11.0,10.945652173913043
93,12.0,10.956989247311828
94,8.0,10.925531914893616
95,11.0,10.926315789473684
96,10.0,10.916666666666666
97,9.0,10.896907216494846
98,9.0,10.877551020408163
99,10.0,10.868686868686869
100,9.0,10.85
101,9.0,10.84
102,12.0,10.82
103,12.0,10.84
104,10.0,10.83
105,9.0,10.81
106,8.0,10.79
107,11.0,10.79
108,10.0,10.77
109,13.0,10.81
110,10.0,10.78
111,8.0,10.76
112,9.0,10.75
113,9.0,10.75
114,10.0,10.76
115,14.0,10.73
116,11.0,10.75
117,9.0,10.74
118,25.0,10.89
119,12.0,10.88
120,11.0,10.9
121,12.0,10.91
122,14.0,10.96
123,12.0,10.98
124,8.0,10.95
125,9.0,10.96
126,10.0,10.94
127,10.0,10.95
128,10.0,10.91
129,10.0,10.91
130,11.0,10.93
131,12.0,10.96
132,10.0,10.97
133,13.0,11.02
134,10.0,10.99
135,9.0,10.94
136,10.0,10.93
137,10.0,10.88
138,9.0,10.87
139,15.0,10.92
140,9.0,10.91
141,12.0,10.94
142,9.0,10.93
143,12.0,10.96
144,9.0,10.92
145,10.0,10.87
146,9.0,10.85
147,14.0,10.87
148,10.0,10.87
149,9.0,10.87
150,9.0,10.85
151,12.0,10.88
152,8.0,10.86
153,16.0,10.92
154,9.0,10.9
155,9.0,10.9
156,12.0,10.89
157,9.0,10.83
158,10.0,10.84
159,10.0,10.82
160,11.0,10.83
161,14.0,10.88
162,9.0,10.87
163,10.0,10.85
164,13.0,10.88
165,11.0,10.89
166,10.0,10.89
167,12.0,10.91
168,10.0,10.91
169,11.0,10.93
170,10.0,10.91
171,9.0,10.89
172,10.0,10.9
173,11.0,10.88
174,9.0,10.82
175,10.0,10.81
176,9.0,10.8
177,9.0,10.77
178,9.0,10.76
179,13.0,10.77
180,13.0,10.81
181,12.0,10.84
182,10.0,10.75
183,10.0,10.76
184,10.0,10.71
185,14.0,10.76
186,9.0,10.72
187,10.0,10.73
188,9.0,10.71
189,10.0,10.71
190,10.0,10.67
191,11.0,10.6
192,12.0,10.61
193,15.0,10.64
194,12.0,10.68
195,12.0,10.69
196,9.0,10.68
197,10.0,10.69
198,10.0,10.7
199,17.0,10.77
200,9.0,10.77
201,10.0,10.78
202,9.0,10.75
203,12.0,10.75
204,9.0,10.74
205,9.0,10.74
206,10.0,10.76
207,10.0,10.75
208,12.0,10.77
209,10.0,10.74
210,11.0,10.75
211,10.0,10.77
212,11.0,10.79
213,9.0,10.79
214,12.0,10.81
215,9.0,10.76
216,11.0,10.76
217,11.0,10.78
218,9.0,10.62
219,12.0,10.62
220,11.0,10.62
221,11.0,10.61
222,10.0,10.57
223,9.0,10.54
224,11.0,10.57
225,11.0,10.59
226,12.0,10.61
227,11.0,10.62
228,10.0,10.62
229,11.0,10.63
230,14.0,10.66
231,9.0,10.63
232,12.0,10.65
233,10.0,10.62
234,9.0,10.61
235,9.0,10.61
236,9.0,10.6
237,8.0,10.58
238,11.0,10.6
239,9.0,10.54
240,10.0,10.55
241,9.0,10.52
242,10.0,10.53
243,10.0,10.51
244,11.0,10.53
245,13.0,10.56
246,12.0,10.59
247,11.0,10.56
248,10.0,10.56
249,14.0,10.61
250,9.0,10.61
251,10.0,10.59
252,11.0,10.62
253,10.0,10.56
254,10.0,10.57
255,12.0,10.6
256,10.0,10.58
257,9.0,10.58
258,9.0,10.57
259,8.0,10.55
260,15.0,10.59
261,9.0,10.54
262,10.0,10.55
263,12.0,10.57
264,14.0,10.58
265,12.0,10.59
266,9.0,10.58
267,9.0,10.55
268,11.0,10.56
269,10.0,10.55
270,11.0,10.56
271,10.0,10.57
272,12.0,10.59
273,9.0,10.57
274,9.0,10.57
275,9.0,10.56
276,11.0,10.58
277,10.0,10.59
278,10.0,10.6
279,10.0,10.57
280,12.0,10.56
281,9.0,10.53
282,12.0,10.55
283,22.0,10.67
284,13.0,10.7
285,10.0,10.66
286,13.0,10.7
287,13.0,10.73
288,10.0,10.74
289,9.0,10.73
290,11.0,10.74
291,12.0,10.75
292,10.0,10.73
293,8.0,10.66
294,10.0,10.64
295,9.0,10.61
296,10.0,10.62
297,10.0,10.62
298,9.0,10.61
299,12.0,10.56
300,9.0,10.56
301,10.0,10.56
302,9.0,10.56
303,11.0,10.55
304,10.0,10.56
305,9.0,10.56
306,11.0,10.57
307,9.0,10.56
308,9.0,10.53
309,10.0,10.53
310,14.0,10.56
311,10.0,10.56
312,15.0,10.6
313,10.0,10.61
314,9.0,10.58
315,10.0,10.59
316,11.0,10.59
317,12.0,10.6
318,9.0,10.6
319,9.0,10.57
320,9.0,10.55
321,8.0,10.52
322,14.0,10.56
323,12.0,10.59
324,10.0,10.58
325,11.0,10.58
326,12.0,10.58
327,10.0,10.57
328,10.0,10.57
329,8.0,10.54
330,10.0,10.5
331,11.0,10.52
332,10.0,10.5
333,12.0,10.52
334,10.0,10.53
335,11.0,10.55
336,10.0,10.56
337,11.0,10.59
338,11.0,10.59
339,13.0,10.63
340,11.0,10.64
341,11.0,10.66
342,9.0,10.65
343,8.0,10.63
344,9.0,10.61
345,14.0,10.62
346,11.0,10.61
347,9.0,10.59
348,12.0,10.61
349,9.0,10.56
350,9.0,10.56
351,14.0,10.6
352,10.0,10.59
353,11.0,10.6
354,10.0,10.6
355,10.0,10.58
356,12.0,10.6
357,10.0,10.61
358,12.0,10.64
359,10.0,10.66
360,9.0,10.6
361,10.0,10.61
362,9.0,10.6
363,9.0,10.57
364,11.0,10.54
365,10.0,10.52
366,12.0,10.55
367,11.0,10.57
368,11.0,10.57
369,10.0,10.57
370,13.0,10.59
371,9.0,10.58
372,15.0,10.61
373,9.0,10.61
374,10.0,10.62
375,15.0,10.68
376,11.0,10.68
377,12.0,10.7
378,10.0,10.7
379,12.0,10.72
380,9.0,10.69
381,12.0,10.72
382,9.0,10.69
383,17.0,10.64
384,9.0,10.6
385,11.0,10.61
386,14.0,10.62
387,11.0,10.6
388,10.0,10.6
389,11.0,10.62
390,13.0,10.64
391,11.0,10.63
392,10.0,10.63
393,11.0,10.66
394,8.0,10.64
395,10.0,10.65
396,9.0,10.64
397,9.0,10.63
398,12.0,10.66
399,11.0,10.65
400,9.0,10.65
401,12.0,10.67
402,10.0,10.68
403,10.0,10.67
404,9.0,10.66
405,9.0,10.66
406,9.0,10.64
407,8.0,10.63
408,12.0,10.66
409,11.0,10.67
410,9.0,10.62
411,11.0,10.63
412,9.0,10.57
413,10.0,10.57
414,12.0,10.6
415,8.0,10.58
416,15.0,10.62
417,10.0,10.6
418,11.0,10.62
419,15.0,10.68
420,8.0,10.67
421,11.0,10.7
422,10.0,10.66
423,10.0,10.64
424,12.0,10.66
425,9.0,10.64
426,9.0,10.61
427,12.0,10.63
428,10.0,10.63
429,10.0,10.65
430,10.0,10.65
431,11.0,10.65
432,14.0,10.69
433,12.0,10.69
434,10.0,10.69
