episode,reward,R100
1,-206.8594392091793,-206.8594392091793
2,-162.65026059846002,-184.75484990381966
3,-125.63414503446651,-165.04794828070195
4,-226.92494376296094,-180.51719715126669
5,-98.21787082027852,-164.05733188506906
6,7.782426383596686,-135.41737217362478
7,18.565666934716248,-113.41979515814748
8,-68.70401489349457,-107.83032262506586
9,-147.46368542839673,-112.23402960321374
10,-105.28739447220791,-111.53936609011316
11,-332.71776732668616,-131.64649347525616
12,-302.43098414392244,-145.8785343643117
13,-430.81321969068006,-167.79658708172462
14,-49.252712127870524,-159.32916744216362
15,-91.50620318057594,-154.8076364913911
16,-81.5425195145547,-150.22856668033884
17,-323.6236133454055,-160.42827530769569
18,-145.42952540460294,-159.59501142419055
19,-294.06216449151134,-166.6722300066811
20,-72.3497119454752,-161.95610410362082
21,-74.160807484895,-157.7753756932053
22,-173.18013269724827,-158.4755919206618
23,-76.04402424646857,-154.891610717436
24,-341.8292396959986,-162.68067859154277
25,-171.49846847517543,-163.03339018688808
26,-90.92510875197158,-160.25999474708362
27,-120.08975100910511,-158.77220794197328
28,-197.36091134325454,-160.15037592059048
29,-292.27433405398347,-164.7063744769144
30,-176.1441943464096,-165.08763513923088
31,-302.7193558126568,-169.5273680641801
32,-253.1133694886554,-172.13943060869497
33,-493.8170887224694,-181.8872384303245
34,-314.8362934157636,-185.79750475342564
35,-153.5277752431232,-184.8755124817027
36,105.86999072856744,-176.79924850363966
37,-136.94916836820755,-175.7222193107901
38,-79.52551956262015,-173.1907272121541
39,-199.9288218317932,-173.8763193818884
40,-304.44474198888497,-177.14052994706333
41,-158.75098280057296,-176.69200440690503
42,-157.89132602830728,-176.2443692074146
43,-162.5950624854493,-175.9269434696945
44,-119.45920024660845,-174.6435856691698
45,-384.1171830039115,-179.29855449883073
46,-449.3260723214183,-185.16871792975653
47,-117.92857465755019,-183.73807658353937
48,-384.6699188897449,-187.92415663158533
49,-187.82515340394707,-187.92213615755188
50,-143.329440926606,-187.030282252933
51,-63.4609288808051,-184.60735375544027
52,-75.3564963608908,-182.50637572862203
53,-154.51689341556647,-181.97827228875306
54,-106.5225391732293,-180.58094389772484
55,-220.04184291988486,-181.29841478903683
56,-267.8088074837882,-182.8432432300145
57,-326.6258712727771,-185.36574547637878
58,-114.41382225051244,-184.14243645524317
59,-57.730703788034646,-181.999864715121
60,-67.01910725206356,-180.08351875740337
61,-154.67479900845,-179.66698236807625
62,-139.04838702340115,-179.01184373348474
63,19.19855229742862,-175.8656469710893
64,-35.42298488371097,-173.67123037597398
65,-171.79303850084284,-173.6423351163566
66,-298.7251870467584,-175.53752984257477
67,-276.5064217167676,-177.04452822875677
68,-288.7271106401986,-178.6869191465721
69,-129.95019570056076,-177.98058982126759
70,-220.47596341478615,-178.58766658688927
71,-155.79641122037287,-178.2666629901778
72,-172.07671469869678,-178.18069148612943
73,-87.85594123689071,-176.94336614024945
74,-83.19189720838071,-175.6764543979269
75,-314.1215618558471,-177.5223891640325
76,-191.55889726156252,-177.70708006005262
77,-157.65409658273444,-177.44665170320437
78,-184.80864333567825,-177.54103621131298
79,-293.82576092649657,-179.0129947520115
80,-105.51277463409802,-178.09424200053758
81,-100.77196916997235,-177.13964603966642
82,-191.38830670036168,-177.31341019406514
83,-47.56485451008154,-175.75017458341475
84,-227.65006570298152,-176.36803043007626
85,-105.23091672080913,-175.53112320996723
86,-367.0509337738502,-177.75809775140772
87,-144.5820136381364,-177.3767634512552
88,-144.42198648233384,-177.00227734933563
89,-98.51941390056393,-176.12044742294492
90,1.0224534256065283,-174.15219296907213
91,-38.17510739380364,-172.6579392814318
92,-98.81798764695134,-171.8553311114918
93,-82.38791732533956,-170.89331590949018
94,-196.63228927274378,-171.1671347750567
95,-126.14904999482917,-170.69326019842273
96,-249.34162496206827,-171.51251399804403
97,-105.2317825585637,-170.82920748835866
98,-62.13707324812861,-169.72010407774408
99,-88.93293363741728,-168.90407205309432
100,-137.55645607918132,-168.59059589335516
101,-211.47432318016246,-168.63674473306503
102,-198.86295990387214,-168.9988717261191
103,-236.82479136575452,-170.110778189432
104,-143.89886333995128,-169.28051738520193
105,-43.9649021265018,-168.73798769826416
106,-47.714104055368324,-169.2929530026538
107,-103.70147455997986,-170.51562441760075
108,-14.289842232284244,-169.97148269098867
109,-61.72926282279979,-169.1141384649327
110,-138.3583608531975,-169.44484812874256
111,-26.33340026577065,-166.38100445813342
112,-50.93801193893167,-163.86607473608353
113,3.092044965143586,-159.52702208952527
114,-340.9220800202168,-162.44371576844875
115,-179.45227206688776,-163.32317645731186
116,-107.73608403492467,-163.58511210251555
117,-95.81531687418155,-161.30702913780334
118,-59.83051472776988,-160.451039031035
119,-253.9551617612176,-160.04996900373206
120,-320.44065161150445,-162.53087840039237
121,-111.41555977399209,-162.90342592328332
122,-106.38999531476702,-162.23552454945852
123,-119.15749243127232,-162.66665923130654
124,-49.57517891770017,-159.74411862352355
125,-122.40848867846113,-159.25321882555644
126,-102.32655935394527,-159.36723333157616
127,-173.30853700030679,-159.8994211914882
128,-23.11648923871951,-158.1569769704428
129,-119.10972779244963,-156.42533090782752
130,-81.65537143410283,-155.48044267870443
131,-204.16317365575162,-154.49488085713537
132,-400.06659865462007,-155.96441314879502
133,-114.84120271019201,-152.17465428867223
134,-120.77683323469361,-150.23405968686154
135,-3.5473873450989686,-148.7342558078813
136,-130.21265713627372,-151.0950822865297
137,-205.13780515080586,-151.7769686543557
138,-147.8521334465757,-152.46023479319524
139,-2.3723627856382308,-150.4846702027337
140,-236.41465320222272,-149.80436931486707
141,-123.08615814185441,-149.4477210682799
142,-92.18940257095258,-148.79070183370635
143,-63.32823715089883,-147.79803358036085
144,-94.73625948630325,-147.5508041727578
145,-70.08708158373125,-144.410503158556
146,-130.94258759432324,-141.22666831128504
147,-3.8665138294399526,-140.08604770300394
148,-65.71355190376858,-136.89648403314416
149,-174.74211630080345,-136.76565366211275
150,-269.3571251443602,-138.02593050429027
151,-87.72427985248889,-138.26856401400713
152,-83.69138574705892,-138.35191290786878
153,-93.7281444041277,-137.74402541775441
154,-23.32395256185275,-136.91203955164065
155,-52.32909940776833,-135.23491211651947
156,-39.60708515269269,-132.9528948932085
157,-91.04558689792063,-130.59709204945995
158,-79.04849888624436,-130.24343881581726
159,-70.76208440241254,-130.37375262196105
160,-69.62609839380553,-130.39982253337845
161,-137.6148298828096,-130.22922284212208
162,-44.35166758127313,-129.2822556477008
163,-62.01925141401158,-130.0944336848152
164,-139.0633576459148,-131.13083741243724
165,-327.86148026027706,-132.69152183003155
166,-70.59855870759166,-130.41025554663992
167,-71.93955339130008,-128.36458686338523
168,-96.18556725539501,-126.43917142953718
169,-122.84803315981192,-126.36814980412971
170,-268.3257698910875,-126.84664786889272
171,-89.1621462191221,-126.1803052188802
172,-103.00745906306929,-125.48961266252392
173,-30.877365761484114,-124.91982690776987
174,-8.697329738816222,-124.17488123307423
175,-131.23703923938717,-122.34603600690963
176,-49.994003460365704,-120.93038706889766
177,-102.33512500413535,-120.37719735311165
178,-63.09106634578286,-119.16002158321271
179,-34.14118837360337,-116.56317585768376
180,-64.50029415499111,-116.15305105289272
181,-73.89531467711203,-115.88428450796411
182,-78.43194338986189,-114.75472087485912
183,-97.44893927175387,-115.25356172247582
184,-5.940976025342621,-113.03647082569944
185,-26.732921569465603,-112.251490874186
186,-206.38154058067363,-110.64479694225425
187,-203.8010272622849,-111.23698707849572
188,-13.459813975785693,-109.92736535343025
189,-78.80992009013902,-109.73027041532599
190,-48.71666143635714,-110.22766156394565
191,-98.25762763576077,-110.82848676636522
192,-163.90019133735555,-111.47930880326923
193,-75.6091035704135,-111.41152066571998
194,-89.3762205943751,-110.33895997893629
195,-148.11844344273044,-110.55865391341531
196,-72.18189027641054,-108.78705656655875
197,-158.2187896674331,-109.31692663764743
198,-22.399849133402213,-108.91955439650017
199,-89.90986652983341,-108.92932372542433
200,-77.08029579833669,-108.32456212261587
201,-221.07473266719157,-108.42056621748617
202,-104.01952811911175,-107.47213189963857
203,-34.05657427753455,-105.44444972875637
204,-57.7834080151187,-104.58329517550804
205,-85.55239268076392,-104.99917008105066
206,-68.33674044829353,-105.20539644497993
207,-130.6149987783818,-105.47453168716393
208,-142.12110141148605,-106.75284427895596
209,-150.44837955011425,-107.64003544622909
210,-100.27865668630943,-107.25923840456022
211,-100.64464741637417,-108.00235087606625
212,-76.75015179851651,-108.26047227466209
213,-7.130447378301923,-108.36269719809655
214,-44.07589616809835,-105.39423535957536
215,-82.20493902700753,-104.42176202917658
216,-143.45939621837252,-104.77899515101106
217,-80.28673898891951,-104.62370937215843
218,-86.8409142022011,-104.89381336690272
219,-103.87232577371083,-103.39298500702768
220,-125.42592566043677,-101.442837747517
221,-82.88517184564206,-101.1575338682335
222,-36.7431463882958,-100.46106537896878
223,-62.14471032157028,-99.89093755787177
224,-183.61927658730644,-101.23137853456782
225,-19.769803647383185,-100.20499168425704
226,-42.54827597768187,-99.6072088504944
227,-32.42212068086964,-98.19834468730004
228,-166.35284897273124,-99.63070828464016
229,-30.880269405949164,-98.74841370077515
230,-39.667028063901014,-98.32853026707313
231,-129.1129726038288,-97.57802825655389
232,-77.66875998195485,-94.35404986982725
233,-74.71168945551891,-93.95275473728054
234,-45.098286093337634,-93.19596926586695
235,-63.21715437783975,-93.79266693619437
236,-5.076591342789342,-92.54130627825953
237,-136.79463361414048,-91.85787456289286
238,-79.01804705935285,-91.16953369902065
239,-79.55321840956242,-91.94134225525988
240,-11.868352774798922,-89.69587925098566
241,-167.13615975251378,-90.13637926709225
242,-33.78623054197297,-89.55234754680242
243,9.580188327624455,-88.82326329201722
244,-88.08164348268892,-88.75671713198106
245,-24.036305231728548,-88.29620936846106
246,-32.56550338851811,-87.312438526403
247,-299.07314620571026,-90.26450485016571
248,-33.699192811048064,-89.94436125923849
249,-48.35847488052593,-88.6805248450357
250,-88.05263406351028,-86.86747993422722
251,-44.09130088245303,-86.43115014452685
252,-127.07462197515684,-86.86498250680783
253,-72.55520567848347,-86.6532531195514
254,-10.213097811659168,-86.52214457204946
255,18.425909885146154,-85.81459447912032
256,-55.375052431095156,-85.97227415190434
257,-46.93771397649341,-85.53119542269008
258,43.6009953798233,-84.30470048002938
259,-251.36747076247238,-86.11075434362998
260,-56.22651558923609,-85.9767585155843
261,-24.32388011837594,-84.84384901793996
262,-9.068548553306584,-84.49101782766029
263,-17.94284290554714,-84.05025374257566
264,-41.731099858508614,-83.07693116470158
265,-20.209640700433297,-80.00041276910314
266,-57.69671836002537,-79.87139436562748
267,-197.61053286334854,-81.12810416034796
268,-60.835895840009776,-80.77460744619412
269,-109.84281688928414,-80.64455528348884
270,-5.232783578809162,-78.01362542036605
271,-40.20471631326431,-77.52405112130748
272,-126.60520507183215,-77.7600285813951
273,19.912489894045734,-77.2521300248398
274,7.606729073127823,-77.08908943672036
275,-43.356083473059954,-76.2102798790571
276,-96.86313045250823,-76.67897114897852
277,-79.80624016175665,-76.45368230055473
278,-97.90895711621656,-76.80186120825907
279,-33.657185546015285,-76.79702117998319
280,-54.32124461394561,-76.69523068457273
281,13.902819785935037,-75.81724933994226
282,-43.51035025238367,-75.46803340856748
283,-218.2536809397006,-76.67608082524694
284,-25.761415701797404,-76.8742852220115
285,-17.934962504694667,-76.78630563136379
286,-130.81791265583615,-76.03066935211541
287,-130.7565395083359,-75.30022447457591
288,-61.5637873571291,-75.78126420838936
289,-130.10787683498248,-76.2942437758378
290,-59.821979104326516,-76.40529695251749
291,-50.4903201493084,-75.92762387765296
292,-72.73204645998968,-75.0159424288793
293,-79.3287614804517,-75.0531390079797
294,-47.46067345102645,-74.6339835365462
295,-27.898203428918322,-73.43178113640808
296,-8.740981839466201,-72.79737205203864
297,-76.33374464369263,-71.97852160180123
298,-88.8472487743748,-72.64299559821096
299,-41.34278175224874,-72.15732475043511
300,7.178201510736699,-71.31473977734437
301,-162.28236198077263,-70.72681607048018
302,28.628191195357346,-69.40033887733549
303,27.659379777529875,-68.78317933678485
304,10.013190594445092,-68.10521335068921
305,-26.654459201454102,-67.51623401589612
306,31.896929523915702,-66.51389731617402
307,5.828670299465458,-65.14946062539555
308,24.882848654091575,-63.47942112473977
309,-116.94798097426023,-63.144417138981225
310,32.779700796243674,-61.81383356415569
311,2.730486255553984,-60.78008222743642
312,52.94172346077943,-59.48316347484346
313,-11.113752302135481,-59.52299652408179
314,-154.56365255937524,-60.62787408799457
315,-16.28032203831504,-59.96862791810764
316,-17.32879861828566,-58.70732194210677
317,-55.99622160593476,-58.46441676827693
318,25.836287552985027,-57.337644750725055
319,-4.559865482200237,-56.34452014780995
320,-27.043870533813305,-55.36069959654372
321,5.266062511573807,-54.47918725297157
322,-21.77392521647993,-54.3294950412534
323,3.644379260481318,-53.67160414543289
324,0.035654646206438656,-51.83505483309776
325,-92.79817672889807,-52.56533856391291
326,37.24578767318091,-51.767397927404275
327,39.69746492538196,-51.04620207134176
328,-46.12424965232441,-49.8439160781377
329,28.627346192218752,-49.24883992215601
330,13.643979735845498,-48.71572984415855
331,-76.31590025675445,-48.18775912068781
332,-222.77846124124693,-49.638856133280726
333,-92.89942289523788,-49.82073346767792
334,-162.8702786297202,-50.998453393041736
335,220.26011304840978,-48.163680718779254
336,-57.892543780750074,-48.69184024315885
337,-65.14599212839916,-47.975353828301444
338,70.96723085115505,-46.47550104919637
339,94.32346833495853,-44.73673418175115
340,-57.88715913634465,-45.196922245366615
341,75.69571233537282,-42.768603524487744
342,9.735479909241164,-42.333386419975604
343,59.972442944492826,-41.829463873806915
344,-143.6206351243617,-42.38485379022365
345,-105.16569928146916,-43.19614773072105
346,22.550932985758045,-42.644983366978295
347,76.95037752404144,-38.88474812968078
348,-131.51063910601957,-39.86286259263049
349,-75.1101270775906,-40.13037911460114
350,-29.131871302491877,-39.541171486990955
351,-26.102462592465155,-39.36128310409107
352,-61.166133603401065,-38.70219822037352
353,-73.59096492020116,-38.7125558127907
354,-2.1308196204154117,-38.63173303087826
355,28.951276265320764,-38.52647936707651
356,30.173864899594,-37.67099019376962
357,-108.42580634857514,-38.28587111749044
358,-6.401330351381725,-38.78589437480249
359,-28.23589883786849,-36.55457865555645
360,9.275404012323026,-35.89955945954085
361,86.5181325560431,-34.79113933279667
362,-5.113674761051675,-34.751590594874116
363,5.023547429252695,-34.52192669152612
364,-12.77420431369854,-34.23235773607802
365,83.31665781716771,-33.19709475090201
366,-34.922181331863555,-32.96934938062039
367,-14.707948076322754,-31.14032353275013
368,-44.296522675015034,-30.974929801100185
369,-2.742862051031982,-29.903930252717664
370,-205.45442345540386,-31.90614665148361
371,-37.619437279828794,-31.88029386114925
372,-5.037560184510714,-30.664617412276037
373,-11.261089540443589,-30.976353206620935
374,-71.01719781834987,-31.76259247553571
375,-69.03830000872615,-32.01941464089237
376,-27.461484685055023,-31.32539818321784
377,-21.013178443528286,-30.73746756603556
378,-41.11158445309562,-30.16949383940435
379,17.655499799524783,-29.656366985948942
380,-67.53317034007397,-29.788486243210226
381,-77.56378219695534,-30.703152263039133
382,-43.46184991919453,-30.70266725970724
383,-40.21015754828827,-28.922232025793118
384,-5.652856447072137,-28.721146433245863
385,-84.64766075194906,-29.388273415718412
386,-15.090680332360428,-28.231001092483652
387,-40.10388397665182,-27.32447453716681
388,-16.37226791115978,-26.872559342707117
389,-42.60687101385471,-25.99754928449584
390,-81.45482383257252,-26.213877731778297
391,185.074960314095,-23.85822492714427
392,-64.26384796236086,-23.773542942167982
393,187.54845305041752,-21.104770796859288
394,-72.80915710691924,-21.358255633418217
395,-63.53606221285172,-21.714634221257548
396,-51.2373061823336,-22.139597464686222
397,-31.130558033669228,-21.687565598585987
398,-45.27410328328341,-21.251834143675072
399,-62.30335514097532,-21.461439877562338
400,-74.73307600943858,-22.280552652764094
401,-99.10108549509175,-21.648739887907286
402,-53.024560808089554,-22.465267407941756
403,-67.60877808507576,-23.41794898656781
404,-34.19016748048198,-23.85998256731708
405,-35.25740633462069,-23.94601203864875
406,-42.94473614132018,-24.694428695301102
407,7.819561235763924,-24.67451978593812
408,-41.738258946698146,-25.340730861946017
409,-38.791548167507955,-24.559166533878493
410,-33.927561090105804,-25.226239152741993
411,-77.57074112599557,-26.029251426557483
412,-83.45655356175205,-27.3932341967828
413,-4.016358083509032,-27.322260254596536
414,-31.217562398029237,-26.088799352983077
415,1.1085011558825704,-25.9149111210411
416,5.313800177267564,-25.688485133085567
417,18.25851147211161,-24.945937802305107
418,-18.437586303588557,-25.388676540870836
419,-72.29722006370896,-26.066050086685927
420,-51.18462863480616,-26.307457667695854
421,-68.03739500424122,-27.040492242854008
422,-14.724611060504516,-26.969999101294253
423,21.04509429976063,-26.795991950901456
424,-37.01822081032017,-27.16653070546672
425,0.1285352074418638,-26.23726358610332
426,-25.931588938303392,-26.86903735221817
427,-19.73244587809929,-27.463336460252982
428,-39.603255993926666,-27.398126523669003
429,-39.09215481547952,-28.07532153374599
430,-32.71289499116021,-28.53889028101604
431,-72.84995492258818,-28.504230827674384
432,-8.312049158652085,-26.359566706848433
433,-51.61660867700683,-25.94673856466612
434,-52.719882573121346,-24.84523460410013
435,-38.82051713164122,-27.436040905900644
436,-38.09752876726005,-27.238090755765743
437,-12.225039779691954,-26.70888123227867
438,-56.96360416298298,-27.98818958242005
439,-23.18018496064609,-29.163226115376098
440,-66.98822096641676,-29.254236733676816
441,-1.6660026999320348,-30.02785388402987
442,-31.090614132663,-30.43611482444891
443,-60.24786153460536,-31.63831786923989
444,-77.8610675186471,-30.980722193182746
445,-57.10232602448452,-30.5000884606129
446,-59.861067285106884,-31.324208463321547
447,-45.429654596454625,-32.5480087845265
448,-66.76677929257968,-31.90057018639211
449,20.31085363975751,-30.94636037921863
450,-49.868717045342194,-31.153728836647133
451,-13.652366624030485,-31.029227876962786
452,-21.427400762177534,-30.63184054855055
453,-10.436976723544504,-30.000300666583982
454,-115.43543967798296,-31.13334686715966
455,-56.464763260767356,-31.987507262420536
456,-83.03049000042718,-33.11955081142075
457,-201.31602850044072,-34.048453032939406
458,-103.41751587847779,-35.018614888210365
459,-28.650022876766965,-35.022756128599354
460,-265.27278597526146,-37.768238028475196
461,-44.15448045833376,-39.07496415861897
462,-55.84834891674092,-39.582310900175855
463,-66.42730032913659,-40.29681937775975
464,-115.27227476215538,-41.321800082244316
465,-81.06349460307297,-42.965601606446725
466,-71.65552654017918,-43.332935058529884
467,-50.779025565513635,-43.6936458334218
468,-16.73500252608322,-43.41803063193247
