episode,reward,R100
1,-109.66300268865592,-109.66300268865592
2,-78.36060442609273,-94.01180355737432
3,-103.02203143217336,-97.015212848974
4,-112.40358344683268,-100.86230549843867
5,-130.17465653919783,-106.7247757065905
6,-178.60280475344138,-118.70444721439897
7,-76.20937353499383,-112.63372240305539
8,-301.8154707555366,-136.28144094711553
9,-66.86375425194585,-128.56836464765223
10,-182.52980153688043,-133.96450833657508
11,-59.08433839142966,-127.15722015974366
12,-83.10248703662678,-123.48599239948392
13,-66.66520863208636,-119.11516287891489
14,-116.33877838233909,-118.91684970058803
15,-75.4206380229246,-116.01710225541048
16,-147.4829927156818,-117.98372040917744
17,-69.67976115149224,-115.1423110410783
18,-183.77508883384235,-118.9552431406763
19,-162.74932475616572,-121.26019480464943
20,-125.46848534374189,-121.47060933160405
21,-494.9116657771569,-139.25351678139228
22,-109.26409390061387,-137.89036119590236
23,-141.63822948278147,-138.05331199098407
24,-105.47058703595579,-136.69569845119122
25,-123.55786241157213,-136.17018500960646
26,-117.31442956236445,-135.44496364625098
27,-86.04752632155801,-133.61542893052163
28,-176.59404118177537,-135.15037936806638
29,-157.09910671937334,-135.90723203535285
30,-102.48246337075315,-134.7930730798662
31,-151.46622636131923,-135.3309167341066
32,-104.75911724277837,-134.3755480000026
33,-122.3203727304066,-134.0102396584997
34,-161.29897865844381,-134.81284962908626
35,-109.87401337976769,-134.10031145053432
36,-79.1358796168656,-132.57352167737685
37,-346.86091031958347,-138.36507272176084
38,-93.14044513784083,-137.1749509432366
39,-89.26633188396984,-135.94652481351184
40,-166.7599494154345,-136.71686042855987
41,-62.409238864437675,-134.9044794148008
42,-77.44111550107206,-133.53630408352154
43,-96.87548510497258,-132.68372689797388
44,-49.54438223278937,-130.79419633740153
45,-260.97816784666634,-133.68717348205186
46,-368.0342172147625,-138.78167443276297
47,-173.16995165403694,-139.51333990555602
48,-187.81466604226515,-140.51961753340413
49,-149.58594016036602,-140.7046445257911
50,-85.209733936842,-139.59474631401213
51,-134.9494785348265,-139.50366263206732
52,-92.82862455636037,-138.60606574599603
53,-39.60823569802465,-136.73818216018523
54,-67.74714686537496,-135.46057039546653
55,-119.29805314442189,-135.16670644544752
56,-189.4237763598386,-136.13558269391882
57,-89.62222878775326,-135.31955894117905
58,-354.2131975007236,-139.0935871922057
