episode,reward,R100,learning_rate
1,9.0,9.0,0.0005
2,9.0,9.0,0.0005
3,8.0,8.666666666666666,0.0005
4,11.0,9.25,0.0005
5,9.0,9.2,0.0005
6,10.0,9.333333333333334,0.0005
7,9.0,9.285714285714286,0.0005
8,11.0,9.5,0.0005
9,10.0,9.555555555555555,0.0005
10,12.0,9.8,0.0005
11,10.0,9.818181818181818,0.0005
12,11.0,9.916666666666666,0.0005
13,10.0,9.923076923076923,0.0005
14,9.0,9.857142857142858,0.0005
15,9.0,9.8,0.0005
16,10.0,9.8125,0.0005
17,9.0,9.764705882352942,0.0005
18,11.0,9.833333333333334,0.0005
19,12.0,9.947368421052632,0.0005
20,14.0,10.15,0.0005
21,10.0,10.142857142857142,0.0005
22,10.0,10.136363636363637,0.0005
23,13.0,10.26086956521739,0.0005
24,10.0,10.25,0.0005
25,10.0,10.24,0.0005
26,12.0,10.307692307692308,0.0005
27,9.0,10.25925925925926,0.0005
28,9.0,10.214285714285714,0.0005
29,10.0,10.206896551724139,0.0005
30,14.0,10.333333333333334,0.0005
31,10.0,10.32258064516129,0.0005
32,17.0,10.53125,0.0005
33,13.0,10.606060606060606,0.0005
34,10.0,10.588235294117647,0.0005
35,12.0,10.628571428571428,0.0005
36,12.0,10.666666666666666,0.0005
37,13.0,10.72972972972973,0.0005
38,8.0,10.657894736842104,0.0005
39,13.0,10.717948717948717,0.0005
40,10.0,10.7,0.0005
41,13.0,10.75609756097561,0.0005
42,8.0,10.69047619047619,0.0005
43,14.0,10.767441860465116,0.0005
44,10.0,10.75,0.0005
45,13.0,10.8,0.0005
46,11.0,10.804347826086957,0.0005
47,10.0,10.787234042553191,0.0005
48,10.0,10.770833333333334,0.0005
49,10.0,10.755102040816327,0.0005
50,11.0,10.76,0.0005
51,9.0,10.72549019607843,0.0005
52,13.0,10.76923076923077,0.0005
53,12.0,10.79245283018868,0.0005
54,10.0,10.777777777777779,0.0005
55,8.0,10.727272727272727,0.0005
56,10.0,10.714285714285714,0.0005
57,9.0,10.68421052631579,0.0005
58,12.0,10.706896551724139,0.0005
59,9.0,10.677966101694915,0.0005
60,8.0,10.633333333333333,0.0005
61,19.0,10.770491803278688,0.0005
62,11.0,10.774193548387096,0.0005
63,10.0,10.761904761904763,0.0005
64,12.0,10.78125,0.0005
65,9.0,10.753846153846155,0.0005
66,13.0,10.787878787878787,0.0005
67,9.0,10.761194029850746,0.0005
68,10.0,10.75,0.0005
69,9.0,10.72463768115942,0.0005
70,10.0,10.714285714285714,0.0005
71,11.0,10.71830985915493,0.0005
72,9.0,10.694444444444445,0.0005
73,11.0,10.698630136986301,0.0005
74,16.0,10.77027027027027,0.0005
75,10.0,10.76,0.0005
76,11.0,10.763157894736842,0.0005
77,12.0,10.779220779220779,0.0005
78,10.0,10.76923076923077,0.0005
79,9.0,10.746835443037975,0.0005
80,11.0,10.75,0.0005
81,8.0,10.716049382716049,0.0005
82,10.0,10.707317073170731,0.0005
83,10.0,10.698795180722891,0.0005
84,9.0,10.678571428571429,0.0005
85,11.0,10.68235294117647,0.0005
86,12.0,10.69767441860465,0.0005
87,14.0,10.735632183908047,0.0005
88,12.0,10.75,0.0005
89,10.0,10.741573033707866,0.0005
