episode,reward,R100,learning_rate
1,-257.3773630889856,-257.3773630889856,0.001
2,-119.06894730346414,-188.22315519622487,0.001
3,-240.57759876584925,-205.67463638609965,0.001
4,-134.65263790460267,-187.9191367657254,0.001
5,-221.57972889740523,-194.65125519206137,0.001
6,-331.77317504719025,-217.5049085012495,0.001
7,-370.93377957475707,-239.42331865460775,0.001
8,-430.91847276829964,-263.36021291881923,0.001
9,-82.29263065939804,-243.24159266777244,0.001
10,-88.63116955137365,-227.78055035613255,0.001
11,-259.67814522032836,-230.68033170742308,0.001
12,-426.82838946444497,-247.0260031871749,0.001
13,-397.6248544830927,-258.6105302099378,0.001
14,-288.0299316300135,-260.7119160256575,0.001
15,-411.3288705698441,-270.75304632860326,0.001
16,-389.8735127342004,-278.1980754789531,0.001
17,-235.86679470953928,-275.7080001395758,0.001
18,-296.1734436832385,-276.84496922533486,0.001
19,-181.07900080034057,-271.8046550977036,0.001
20,-250.33653926746044,-270.73124930619144,0.001
21,-213.57865198128832,-268.0096970526246,0.001
22,-444.0908780021224,-276.0133870957836,0.001
23,-164.51124204454987,-271.1654677457299,0.001
24,-342.02435284155524,-274.11792129138934,0.001
25,-274.60872667667275,-274.1375535068007,0.001
26,-201.7438343652574,-271.3531796936644,0.001
27,-324.83352005474774,-273.33393304037116,0.001
28,-360.46092017703734,-276.445611152395,0.001
29,-217.079721123023,-274.3985114962098,0.001
30,-491.16689181906366,-281.62412417363817,0.001
31,-579.3863493823014,-291.2293572448854,0.001
32,-301.34388584753356,-291.54543626371816,0.001
33,-338.8162482632988,-292.97788511219034,0.001
34,-345.6823644176459,-294.5280168564684,0.001
35,-477.3079467676028,-299.7503005682151,0.001
36,-258.83326013807357,-298.61371611182227,0.001
37,-447.94149023931385,-302.6496018990518,0.001
38,-371.42952903901426,-304.4595999816824,0.001
39,-327.88484044908887,-305.0602471731544,0.001
40,-237.32483063284374,-303.36686175964655,0.001
41,27.035763041776974,-295.30826115473377,0.001
42,43.48080446727738,-287.2418548304002,0.001
43,-47.56016239800212,-281.66786198313514,0.001
44,-126.93334454414769,-278.1511684049763,0.001
45,-27.116856743478266,-272.5726281458319,0.001
46,-199.4586222460022,-270.98319323496605,0.001
47,-44.219022764117696,-266.1584236504799,0.001
48,-204.54898941908863,-264.8748937706593,0.001
49,-240.72352727727164,-264.38200874018196,0.001
50,-10.708368713020775,-259.3085359396388,0.001
51,-212.11977851778653,-258.3832661862691,0.001
52,-96.83189901750696,-255.27650912533136,0.001
53,-85.24041735848238,-252.06828097878702,0.001
54,-254.05334374384583,-252.1050414003622,0.001
